gestion_id,fecha,mes,gestor_id,region,tipo_cliente,producto,edad,ingreso,deuda,dias_mora,estado_cuenta,score_riesgo,franja_horaria,canal,intentos_previos,contactado,resultado_contacto,pago_realizado,monto_pagado,promesa_cumplida,motivo_no_pago,tiempo_gestion_min
1,2024-12-15,12,G003,Tarapaca,microempresario,linea_credito,46,2278354,849951,108,vigente,801,noche,carta_notarial,10,0,buzon_voz,0,0,0,,7
2,2024-09-22,9,G011,RM,independiente,tarjeta_credito,31,2235601,7210041,101,vigente,343,manana,visita_terreno,7,1,contactado_rechaza,0,0,0,sin_trabajo,32
3,2024-03-14,3,G022,Biobio,independiente,credito_consumo,60,2240706,3079136,670,vigente,337,manana,carta_notarial,3,1,convenio_acordado,1,1486847,0,,8
4,2024-11-07,11,G018,Los_Lagos,jubilado,automotriz,61,185943,14062818,142,vigente,429,tarde,email,7,0,no_contesta,0,0,0,enfermedad,3
5,2024-01-06,1,G025,Valparaiso,microempresario,credito_consumo,29,1409360,1285127,440,prejuridico,539,noche,email,8,0,no_contesta,0,0,0,enfermedad,5
6,2024-02-24,2,G006,Maule,dependiente,automotriz,43,1307320,16391601,279,prejuridico,681,noche,telefono,1,0,no_contesta,0,0,0,deuda_mayor,5
7,2024-05-24,5,G017,Antofagasta,jubilado,tarjeta_credito,35,926110,3297488,581,prejuridico,628,tarde,telefono,5,1,convenio_acordado,1,1193011,0,,13
8,2024-12-27,12,G022,Araucania,microempresario,linea_credito,65,5669038,2896685,278,juridico,602,tarde,telefono,6,0,buzon_voz,0,0,0,no_reconoce,7
9,2024-04-12,4,G017,Maule,independiente,hipotecario,48,3909221,61673753,1,vigente,510,tarde,whatsapp,8,1,promesa_pago,1,41230487,1,,21
10,2024-08-16,8,G019,Maule,dependiente,credito_consumo,28,1689753,4949679,555,prejuridico,498,noche,carta_notarial,5,0,no_contesta,0,0,0,deuda_mayor,3
11,2024-09-09,9,G006,Valparaiso,microempresario,tarjeta_credito,48,5313415,3098549,299,prejuridico,787,noche,visita_terreno,8,0,numero_equivocado,0,0,0,sin_trabajo,6
12,2024-01-30,1,G005,RM,dependiente,linea_credito,43,416527,2954767,48,vigente,348,tarde,whatsapp,10,1,contactado_acepta,0,0,0,deuda_mayor,31
13,2024-10-06,10,G006,Antofagasta,microempresario,credito_consumo,36,2181065,4145635,6,prejuridico,662,manana,carta_notarial,12,1,promesa_pago,1,3492968,1,,12
14,2024-04-28,4,G011,Maule,dependiente,automotriz,24,2550558,8588955,338,prejuridico,650,noche,whatsapp,1,1,contactado_acepta,1,4697313,0,,3
15,2024-10-11,10,G012,Tarapaca,microempresario,tarjeta_credito,65,1413412,4834228,201,castigado,620,manana,visita_terreno,5,1,contactado_rechaza,1,4589031,0,,21
16,2024-07-23,7,G022,Coquimbo,jubilado,automotriz,40,309609,17344400,96,vigente,335,tarde,email,6,0,no_contesta,0,0,0,sin_trabajo,5
17,2024-10-23,10,G014,Biobio,microempresario,tarjeta_credito,54,2511171,4476632,14,prejuridico,329,noche,telefono,1,0,no_contesta,0,0,0,no_reconoce,3
18,2024-11-09,11,G005,Biobio,microempresario,credito_consumo,31,627008,4299285,148,vigente,393,tarde,visita_terreno,8,1,promesa_pago,1,3737203,1,,30
19,2024-05-08,5,G018,Araucania,independiente,automotriz,33,864611,11335590,178,vigente,540,noche,carta_notarial,2,0,no_contesta,0,0,0,sin_trabajo,4
20,2024-06-25,6,G002,Coquimbo,jubilado,hipotecario,71,772015,74531211,37,vigente,599,tarde,whatsapp,11,1,promesa_pago,1,31905761,1,,13
21,2024-04-23,4,G013,Maule,microempresario,linea_credito,31,3159026,1192104,7,juridico,667,noche,telefono,1,1,contactado_acepta,1,150376,0,,16
22,2024-01-18,1,G016,Coquimbo,jubilado,credito_consumo,61,448350,5490738,1,prejuridico,684,noche,email,7,1,contactado_rechaza,1,3173931,0,,7
23,2024-08-06,8,G017,Maule,independiente,linea_credito,39,1667606,529784,9,vigente,568,tarde,visita_terreno,1,1,contactado_acepta,1,502057,0,,31
24,2024-07-28,7,G009,Tarapaca,jubilado,linea_credito,54,426605,2342212,254,vigente,801,manana,carta_notarial,8,1,contactado_acepta,0,0,0,otro,11
25,2024-02-23,2,G001,Biobio,independiente,linea_credito,49,3080864,2527387,1,vigente,593,noche,telefono,7,0,buzon_voz,0,0,0,otro,7
26,2024-04-21,4,G025,Tarapaca,jubilado,automotriz,33,618973,24200035,4,vigente,426,noche,whatsapp,5,0,no_contesta,0,0,0,no_reconoce,8
27,2024-10-24,10,G017,Valparaiso,jubilado,linea_credito,50,444537,1160988,21,castigado,663,noche,whatsapp,4,1,contactado_rechaza,1,116449,0,,28
28,2024-02-15,2,G010,Coquimbo,dependiente,credito_consumo,22,2170382,3651518,182,vigente,417,manana,whatsapp,4,0,no_contesta,0,0,0,otro,4
29,2024-04-16,4,G018,Biobio,dependiente,tarjeta_credito,42,505453,2577886,155,vigente,657,tarde,visita_terreno,10,1,contactado_rechaza,0,0,0,otro,17
30,2024-03-29,3,G019,RM,microempresario,tarjeta_credito,67,4594696,5144507,66,vigente,456,manana,carta_notarial,6,1,contactado_rechaza,0,0,0,no_reconoce,26
